emd5,monogamyisright,godisdeadandwehavekilledhim,eatfoodnottoomuchmostlyplants,theuniversehasalovingcore,ifeelpridefortheunitedstatesofamerica,colinkaepernickisanationalhero,bernieorhillary,trumporbush,homosexualityisbeautiful,ibelievethereismorethanjustthephysicaluniverse
e8379040fc885234273bcbaa143c3664,0,1,5,1,8,5,bernie,bush,5,5
cf6994437c9d77489ca27d50c20ade8d,1,1,1,0,3,5,bernie,bush,3,1
b3e788f7de4ece382496c7da91d75d2b,1,0,1,0,8,1,hillary,bush,1,5
fa5659c6c3421e94576b2293d3684f20,1,0,4,1,4,5,hillary,bush,5,5
ea3dfcefef4133f7b0496b3eff1f530f,,,,,,,,,,
3b632a36dfab3ef65d42f381f35ad130,,0,3,1,3,5,hillary,bush,5,4
ff8da2e97b0555a4ee2669bd84e75ebf,,,,,,,,,,
d41d8cd98f00b204e9800998ecf8427e,,,,,,,,,,
d41d8cd98f00b204e9800998ecf8427e,,,,,,,,,,
da2c8d803c88acbfa470b4887420ffb8,,,,,,,,,,
6a381d468a0c1a100e6d3af74a613353,,,,,,,,,,
6fdc19f381eb4cb470a0d7867e33923c,,,,,,,,,,
21818d83bd22511d4026bdb47f501cbd,,,,,,,,,,
caf592b54fe87b892cbdfe2850d1264e,,,,,,,,,,
70d9978d7b99bc733b5497186817bd5d,,,,,,,,,,
9f520b6b091e809bad86898ac6a4d320,,,,,,,,,,
eb2678a32c89ec0b0fe57960d0cd2824,,,,,,,,,,
55cda08f7bba66ccf701eb17101f906c,,,,,,,,,,
b99b3ad22f4c33096ef2edfdbb6fdca8,,,,,,,,,,
aba1f6ad23f6d7369d90645be88ccc09,,,,,,,,,,
323c43fa40806a59ab4fe2407b5e5ce6,,,,,,,,,,
e8e0555a2d906fef0fb231a3e0d1eb7d,,,,,,,,,,
b7855f0a148249cb22c716dd8298dac5,,,,,,,,,,
b7855f0a148249cb22c716dd8298dac5,,,,,,,,,,
b7855f0a148249cb22c716dd8298dac5,,,,,,,,,,
07d164baca5e343fcea40a8cf4ad4696,,,,,,,,,,
7ebab691b6ef53d700bdeaa396f94d66,,,,,,,,,,
58ce00d78b0091cbe851522c9e742f0e,,,,,,,,,,
7c6f89224d177da7105012bc8e968998,,,,,,,,,,
454660e2190e685c08516c834f874edd,,,,,,,,,,
4c43df9ec545fdf812a5390a395ec2b1,,,,,,,,,,
6360121c83bdf9c0a95d0625e4bdc9bf,,,,,,,,,,
4c1a2073aeb750b95211cc8193577e1b,,,,,,,,,,
bb9e8d3030c3dffd32e7ed197ff9f847,,,,,,,,,,
