contractAddress,fromAddress,toAddress,estimatedConfirmedAt,type,token,transactionHash,marketplace,priceInEth,collection,notes,ds,icy_cursor
0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x2e1d595d4818be8b6dabc9c3c7208f3ba67c9224,0x856a5f9a8a29b4c9e0c95357b543ff3e9245bfba,2022-03-02T19:38:04.000Z,ORDER,6432,0x7b5305c9c0825ed26f7adfc2980aea5d14a24ec5747240fad7cc3173cbb75ba9,OPENSEA,10.89,doodles,n/a ,2022-03-02,YXJyYXljb25uZWN0aW9uOjI=
0x28472a58a490c5e09a238847f66a68a47cc76f0f,0xc301625d64528e69ddf101914188fcd793c528cc,0x6f8d75e994a78e992491889e80f3d9433fe6e89c,2022-03-02T19:36:43.000Z,ORDER,0,0x2d0f0fe01ab93e18851b2ede6f9bb0e27669be4468fbb32d5dedc002e7619ceb,OPENSEA,1.25,adidas,n/a ,2022-03-02,YXJyYXljb25uZWN0aW9uOjM=
0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x4a5a34e72b09bc1dfea5123b964099061e5253cd,0x3c2fe6356380aa440358336f8226046b44927b4c,2022-03-02T19:30:32.000Z,ORDER,9630,0xb29ecdd048d1fd723043208c077c3328a51f5839b103a2d0196bf9ecb7ba3051,OPENSEA,11.119,doodles,n/a ,2022-03-02,YXJyYXljb25uZWN0aW9uOjQ=
0x28472a58a490c5e09a238847f66a68a47cc76f0f,0x0199e49aaa8226841bfdd9ddb0ba61ad0b251399,0x3f104ccbe05456e3f993043af166a593c40543ff,2022-03-02T19:27:00.000Z,ORDER,0,0xaa16e4c86b3f3462c96fb3edf55a18d60774511f9933d89a00593cb1043d7f7d,OPENSEA,1.28,adidas,n/a ,2022-03-02,YXJyYXljb25uZWN0aW9uOjU=
0x7ab2352b1d2e185560494d5e577f9d3c238b78c5,0x1482fa32454d9409b999215fdacef99c2aef4fbb,0x8a274082cb26fe745374d4def69c2432eadf2495,2022-03-02T19:25:59.000Z,ORDER,11754,0x80299e807faea04df711365aaab89a1e9fa5e3a3a29979e771e5812d61dd8eb0,OPENSEA,0.697,abs,n/a ,2022-03-02,YXJyYXljb25uZWN0aW9uOjY=
0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0x7c9ab86ff9cded8de238265ce5265a4e6c57383c,0x45d13c531ccb1be357f33b31c5e89da16b8ea4ac,2022-03-02T19:24:37.000Z,ORDER,7225,0x782b9e078dfd0816fe2adec564e2ebaaa1b715a5bfb5f287b51f16e2f3b4a9f7,OPENSEA,11.5,doodles,n/a ,2022-03-02,YXJyYXljb25uZWN0aW9uOjc=
0x7ab2352b1d2e185560494d5e577f9d3c238b78c5,0x42400d891c13585fcdcbb978197d268eff545a1f,0x8a274082cb26fe745374d4def69c2432eadf2495,2022-03-02T19:18:13.000Z,ORDER,15004,0xa681b6a705071226f9a330362901836636dee12791efa524d0e0e0c718bffb39,OPENSEA,0.65,abs,n/a ,2022-03-02,YXJyYXljb25uZWN0aW9uOjg=
0x28472a58a490c5e09a238847f66a68a47cc76f0f,0x504117af6699f272bc153bdb32ec1c6decdcc668,0x4a388ad355716079b3508f00e7424f2836cc0dd6,2022-03-02T19:15:56.000Z,ORDER,0,0x3063b56dbce044b4426eeb3d4f61465eb5c4a3e1775d2f7cb8f0dce8a0f66cac,OPENSEA,1.22,adidas,n/a ,2022-03-02,YXJyYXljb25uZWN0aW9uOjk=
0x7ab2352b1d2e185560494d5e577f9d3c238b78c5,0x8efef6b061bda1a1712db316e059cbc8ebdcae4d,0xda11a81bb932d8ba20d4dc66b613781382e50d3f,2022-03-02T19:11:57.000Z,ORDER,6152,0x9a7f42ee99b47ce88ef6a9a82e5e87681431576a6919e2e17706d06a354fa7cf,OPENSEA,0.7,abs,n/a ,2022-03-02,YXJyYXljb25uZWN0aW9uOjEw
0x28472a58a490c5e09a238847f66a68a47cc76f0f,0x5f89af24c06442356e7cdee5f178902b834cf552,0x6fa75177a560bb37690479ff3c532c7e8962010f,2022-03-02T19:01:13.000Z,ORDER,0,0xab924f66b40e9531df74230d0803bc40b999942a059a926470ed03d4e8da889b,OPENSEA,1.25,adidas,n/a ,2022-03-02,YXJyYXljb25uZWN0aW9uOjEx
